Depth,Velocity,Power
50,0.5,53.6022066241054
60,0.5,48.6867854716113
70,0.5,44.7747988639821
80,0.5,41.5540213048277
90,0.5,38.8775032157745
100,0.5,36.5999176055082
110,0.5,34.6350668898514
120,0.5,32.9220753261956
130,0.5,31.4166641726986
140,0.5,30.0774830402328
150,0.5,28.8725519704373
160,0.5,27.7422553739171
170,0.5,26.7006369494402
180,0.5,25.7165992371067
190,0.5,24.7888743999224
200,0.5,23.928153660362
50,0.75,180.907447356356
60,0.75,164.317900966688
70,0.75,151.114946165939
80,0.75,140.244821903793
90,0.75,131.211573353239
100,0.75,123.52472191859
110,0.75,116.893350753249
120,0.75,111.11200422591
130,0.75,106.031241582858
140,0.75,101.511505260786
150,0.75,97.4448629002259
160,0.75,93.6301118869702
170,0.75,90.1146497043608
180,0.75,86.7935224252353
190,0.75,83.6624510997381
200,0.75,80.7575186037217
50,1,428.817652992843
60,1,389.49428377289
70,1,358.198390911857
80,1,332.432170438621
90,1,311.020025726196
100,1,292.799340844066
110,1,277.080535118811
120,1,263.376602609565
130,1,251.333313381589
140,1,240.619864321862
150,1,230.980415763498
160,1,221.938042991337
170,1,213.605095595522
180,1,205.732793896854
190,1,198.310995199379
200,1,191.425229282896
50,1.25,570.7562961
60,1.25,570.7562961
70,1.25,570.7562961
80,1.25,570.7562961
90,1.25,570.7562961
100,1.25,570.7562961
110,1.25,541.172920153929
120,1.25,514.407426971807
130,1.25,490.885377698415
140,1.25,469.960672503637
150,1.25,451.133624538083
160,1.25,433.472740217455
170,1.25,417.197452335004
180,1.25,401.821863079793
190,1.25,387.326162498787
200,1.25,373.877400943156
50,1.5,570.7562961
60,1.5,570.7562961
70,1.5,570.7562961
80,1.5,570.7562961
90,1.5,570.7562961
100,1.5,570.7562961
110,1.5,570.7562961
120,1.5,570.7562961
130,1.5,570.7562961
140,1.5,570.7562961
150,1.5,570.7562961
160,1.5,570.7562961
170,1.5,570.7562961
180,1.5,570.7562961
190,1.5,570.7562961
200,1.5,570.7562961
50,1.75,570.7562961
60,1.75,570.7562961
70,1.75,570.7562961
80,1.75,570.7562961
90,1.75,570.7562961
100,1.75,570.7562961
110,1.75,570.7562961
120,1.75,570.7562961
130,1.75,570.7562961
140,1.75,570.7562961
150,1.75,570.7562961
160,1.75,570.7562961
170,1.75,570.7562961
180,1.75,570.7562961
190,1.75,570.7562961
200,1.75,570.7562961
50,2,570.7562961
60,2,570.7562961
70,2,570.7562961
80,2,570.7562961
90,2,570.7562961
100,2,570.7562961
110,2,570.7562961
120,2,570.7562961
130,2,570.7562961
140,2,570.7562961
150,2,570.7562961
160,2,570.7562961
170,2,570.7562961
180,2,570.7562961
190,2,570.7562961
200,2,570.7562961
50,2.25,570.7562961
60,2.25,570.7562961
70,2.25,570.7562961
80,2.25,570.7562961
90,2.25,570.7562961
100,2.25,570.7562961
110,2.25,570.7562961
120,2.25,570.7562961
130,2.25,570.7562961
140,2.25,570.7562961
150,2.25,570.7562961
160,2.25,570.7562961
170,2.25,570.7562961
180,2.25,570.7562961
190,2.25,570.7562961
200,2.25,570.7562961
50,2.5,570.7562961
60,2.5,570.7562961
70,2.5,570.7562961
80,2.5,570.7562961
90,2.5,570.7562961
100,2.5,570.7562961
110,2.5,570.7562961
120,2.5,570.7562961
130,2.5,570.7562961
140,2.5,570.7562961
150,2.5,570.7562961
160,2.5,570.7562961
170,2.5,570.7562961
180,2.5,570.7562961
190,2.5,570.7562961
200,2.5,570.7562961
50,2.75,570.7562961
60,2.75,570.7562961
70,2.75,570.7562961
80,2.75,570.7562961
90,2.75,570.7562961
100,2.75,570.7562961
110,2.75,570.7562961
120,2.75,570.7562961
130,2.75,570.7562961
140,2.75,570.7562961
150,2.75,570.7562961
160,2.75,570.7562961
170,2.75,570.7562961
180,2.75,570.7562961
190,2.75,570.7562961
200,2.75,570.7562961
